N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1750,메리츠 인버스 2X 금 선물 ETN(H),"12,145",상승25,+0.21%,0,121,"1,000",0.00,12,N/A,N/A,
1751,메리츠 인버스 국채30년 ETN,"12,095",상승40,+0.33%,0,121,"1,000",0.00,170,N/A,N/A,
1752,JW중외제약2우B,"57,600",보합0,0.00%,"2,500",121,210,0.15,0,40.22,N/A,
1753,N2 iSelect-WG 그린에너지 ESG ETN,"12,080",보합0,0.00%,0,121,"1,000",0.00,0,N/A,N/A,
1754,SOL KRX300,"17,225",하락125,-0.72%,0,121,700,0.00,203,N/A,N/A,
1755,대신 밀 선물 ETN(H),"6,020",상승80,+1.35%,0,120,"2,000",0.00,"19,382",N/A,N/A,
1756,한양증권우,"22,900",보합0,0.00%,"5,000",120,525,0.90,"22,234",8.07,N/A,
1757,SOL 200 Top10,"8,580",하락20,-0.23%,0,120,"1,400",6.50,103,N/A,N/A,
1758,HANARO 글로벌생성형AI액티브,"14,025",하락355,-2.47%,0,119,850,0.00,"6,834",N/A,N/A,
1759,KODEX 미국S&P500커뮤니케이션,"13,170",하락115,-0.87%,0,119,900,0.00,1,N/A,N/A,
1760,미래에셋 S&P 유럽탄소배출권 선물 ETN,"11,850",상승5,+0.04%,0,118,"1,000",0.00,1,N/A,N/A,
1761,HANARO CD금리액티브(합성),"102,845",상승5,0.00%,0,118,115,0.00,6,N/A,N/A,
1762,ACE 미국달러단기채권액티브,"10,750",하락15,-0.14%,0,118,"1,100",0.00,6,N/A,N/A,
1763,N2 인버스 레버리지 금 선물 ETN(H),"11,825",상승20,+0.17%,0,118,"1,000",0.00,4,N/A,N/A,
1764,신한 USD K200 선물 바이셀 ETN,"5,905",보합0,0.00%,0,118,"2,000",0.00,0,N/A,N/A,
1765,SOL KEDI메가테크액티브,"14,730",하락220,-1.47%,0,118,800,0.00,"1,598",N/A,N/A,
1766,RISE 미국장기국채선물(H),"9,040",하락10,-0.11%,0,118,"1,300",0.00,"1,269",N/A,N/A,
1767,메리츠 레버리지 국채5년 ETN,"11,745",보합0,0.00%,0,117,"1,000",0.00,0,N/A,N/A,
1768,유유제약1우,"5,180",상승20,+0.39%,"1,000",117,"2,267",0.72,"2,981",39.24,N/A,
1769,PLUS 우량회사채50,"117,315",상승30,+0.03%,0,117,100,0.00,131,N/A,N/A,
1770,한투 블룸버그 인도네시아 대표원자재 ETN,"11,655",보합0,0.00%,0,117,"1,000",0.00,0,N/A,N/A,
1771,VITA MZ소비액티브,"7,750",하락75,-0.96%,0,116,"1,500",0.00,"25,887",N/A,N/A,
1772,신한 인버스 2X 코스피 200 선물 ETN,"11,615",상승165,+1.44%,0,116,"1,000",0.00,18,N/A,N/A,
1773,삼성 인버스 2X 코스피200 선물 ETN,"11,605",상승290,+2.56%,0,116,"1,000",0.00,"40,580",N/A,N/A,
1774,삼성 은 선물 ETN(H),"11,505",하락125,-1.07%,0,115,"1,000",0.00,86,N/A,N/A,
1775,삼성 인버스 2X 구리 선물 ETN(H),"2,300",상승55,+2.45%,0,115,"5,000",0.00,"11,108",N/A,N/A,
1776,한투 구리 선물 ETN,"11,465",보합0,0.00%,0,115,"1,000",0.00,0,N/A,N/A,
1777,메리츠 3X 레버리지 미국채10년 ETN,"57,275",하락195,-0.34%,0,115,200,0.00,50,N/A,N/A,
1778,TIGER LG그룹+펀더멘털,"7,395",하락5,-0.07%,0,114,"1,540",0.00,477,N/A,N/A,
1779,TIGER S&P글로벌인프라(합성),"13,345",하락10,-0.07%,0,113,850,0.00,2,N/A,N/A,
1780,KOSEF 물가채KIS,"113,330",보합0,0.00%,0,113,100,0.00,0,N/A,N/A,
1781,KOSEF 미국S&P500(H),"14,130",하락160,-1.12%,0,113,800,0.00,40,N/A,N/A,
1782,RISE 국채30년레버리지(합성),"22,575",하락250,-1.10%,0,113,500,0.00,"1,168",N/A,N/A,
1783,메리츠 국채5년 ETN,"11,225",보합0,0.00%,0,112,"1,000",0.00,0,N/A,N/A,
1784,RISE 200고배당커버드콜ATM,"7,740",상승35,+0.45%,0,112,"1,450",0.00,"1,657",N/A,N/A,
1785,KODEX 코스닥글로벌,"11,180",하락65,-0.58%,0,112,"1,000",0.00,38,N/A,N/A,
1786,메리츠 레버리지 국채3년 ETN,"11,170",보합0,0.00%,0,112,"1,000",0.00,0,N/A,N/A,
1787,RISE 글로벌수소경제,"6,570",하락115,-1.72%,0,112,"1,700",0.00,"3,733",N/A,N/A,
1788,한투 S&P 인버스 2X 엔달러 선물 ETN(H),"11,150",상승25,+0.22%,0,112,"1,000",0.00,1,N/A,N/A,
1789,KODEX 미국S&P500필수소비재,"11,715",하락110,-0.93%,0,111,950,0.00,454,N/A,N/A,
1790,넥센우,"3,090",하락5,-0.16%,500,111,"3,601",10.69,3,2.02,N/A,
